2026-06-23 16:24:37,195 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:199 | INFO | Starting WOE fitting for 14 numeric features: ['credit_limit', 'age', 'bill_amount_sep_2005', 'bill_amount_aug_2005', 'bill_amount_jul_2005', 'bill_amount_jun_2005', 'bill_amount_may_2005', 'bill_amount_apr_2005', 'payment_amount_sep_2005', 'payment_amount_aug_2005', 'payment_amount_jul_2005', 'payment_amount_jun_2005', 'payment_amount_may_2005', 'payment_amount_apr_2005']
2026-06-23 16:25:00,279 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'bill_amount_apr_2005' fitted with 4 bins and IV=0.0024
2026-06-23 16:25:00,279 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: payment_amount_sep_2005
2026-06-23 16:25:02,277 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'payment_amount_sep_2005' fitted with 7 bins and IV=0.1635
2026-06-23 16:25:02,277 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: payment_amount_aug_2005
2026-06-23 16:25:04,104 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'payment_amount_aug_2005' fitted with 8 bins and IV=0.1367
2026-06-23 16:25:04,104 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: payment_amount_jul_2005
2026-06-23 16:25:06,082 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'payment_amount_jul_2005' fitted with 7 bins and IV=0.1102
2026-06-23 16:25:06,083 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: payment_amount_jun_2005
2026-06-23 16:25:08,351 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'payment_amount_jun_2005' fitted with 5 bins and IV=0.0934
2026-06-23 16:25:08,351 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: payment_amount_may_2005
2026-06-23 16:25:13,588 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'payment_amount_may_2005' fitted with 8 bins and IV=0.0694
2026-06-23 16:25:13,589 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:209 | INFO | Computing WOE for feature: payment_amount_apr_2005
2026-06-23 16:25:15,260 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:262 | INFO | Feature 'payment_amount_apr_2005' fitted with 9 bins and IV=0.0875
2026-06-23 16:25:15,260 | [None] | mlops.sklearn_wrapper_woe_numeric | fit:274 | INFO | WOE fitting completed for 14 features: ['credit_limit', 'age', 'bill_amount_sep_2005', 'bill_amount_aug_2005', 'bill_amount_jul_2005', 'bill_amount_jun_2005', 'bill_amount_may_2005', 'bill_amount_apr_2005', 'payment_amount_sep_2005', 'payment_amount_aug_2005', 'payment_amount_jul_2005', 'payment_amount_jun_2005', 'payment_amount_may_2005', 'payment_amount_apr_2005']
2026-06-23 16:25:15,439 | [None] | mlops.sklearn_wrapper_woe_numeric | transform:344 | INFO | Transform completed for 14 features
2026-06-23 16:25:16,887 | [None] | mlops.sklearn_wrapper_woe_numeric | transform:344 | INFO | Transform completed for 14 features
