2026-06-19 23:07:16,700 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:409 | INFO | Starting categorical WoE auto binning. Feature:gender, Target:TARGET
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:810 | INFO | Feature Name:..................... gender
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:811 | INFO | Final Bin Count:.................. 2
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:812 | INFO | Total Information Value (IV):..... 0.011030
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:813 | INFO | IV Interpretation:................ Not Predictive
2026-06-19 23:07:16,718 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:814 | INFO | Binning Status:................... REVIEW_WEAK_VARIABLE
2026-06-19 23:07:16,719 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:815 | INFO | --------------------------------------------------
2026-06-19 23:07:16,719 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:816 | INFO | WoE Summary Table:
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:817 | INFO | 
       _bin  total  good  bad  bad_rate  bin_pct  good_dist  bad_dist  good_dist_minus_bad_dist  odds_ratio       woe  woe_display       iv
gender_grp1  12102  9604 2498  0.206412 0.602090   0.613510  0.561839                  0.051671    1.091967  0.087981     8.798054 0.004546
gender_grp0   7998  6050 1948  0.243561 0.397910   0.386490  0.438161                 -0.051671    0.882074 -0.125480   -12.547958 0.006484

2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:818 | INFO | --------------------------------------------------
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:819 | INFO | Values to Group:
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:821 | INFO |   gender_grp0: ['1']
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:821 | INFO |   gender_grp1: ['2']
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:822 | INFO | --------------------------------------------------
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:823 | INFO | Quality Check Results:
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:825 | INFO |   minBinPct: Is minimum pct of each bin > 0.05? -> True
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:825 | INFO |   goodBadExist: Do good and bad exist in every bin? -> True
2026-06-19 23:07:16,720 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:825 | INFO |   badRateMonotonic: Is Bad Rate monotonic? -> True
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:825 | INFO |   woeMonotonic: Is WoE monotonic? -> True
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:825 | INFO |   binCount: Are bins between 2 and 6? -> True
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:825 | INFO |   ivReasonable: Is IV 0.011030 reasonable? (0.02 < IV < 0.50) -> False
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:826 | INFO | --------------------------------------------------
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:828 | INFO | Auto binning completed successfully for feature: 'gender'
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:829 | INFO | ==================================================
2026-06-19 23:07:16,721 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:409 | INFO | Starting categorical WoE auto binning. Feature:education, Target:TARGET
2026-06-19 23:07:16,724 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:463 | INFO | Missing rows dropped. Before=20100, After=20100, Dropped=0
2026-06-19 23:07:16,724 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:466 | INFO | Target variable TARGET converted to integer type.
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:470 | INFO | Distinct categories found: ['0', '1', '2', '3', '4', '5', '6']
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:182 | INFO | Creating initial category groups. Category count=7
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:188 | INFO | Initial category groups created:
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '0' -> Group: 0
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '1' -> Group: 1
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '2' -> Group: 2
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '3' -> Group: 3
2026-06-19 23:07:16,725 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '4' -> Group: 4
2026-06-19 23:07:16,726 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '5' -> Group: 5
2026-06-19 23:07:16,726 | [None] | mlops.auto_binning_woe_categorical | create_initial_category_groups:190 | INFO |   - Category: '6' -> Group: 6
2026-06-19 23:07:16,726 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:491 | INFO | --- Iteration 1 ---
2026-06-19 23:07:16,726 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:226 | INFO | Assigning observations to category groups. Group count=7
2026-06-19 23:07:16,727 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:231 | INFO | Observations assigned to groups:
2026-06-19 23:07:16,727 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 0: 12 observations, Categories: ['0']
2026-06-19 23:07:16,727 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 1: 7081 observations, Categories: ['1']
2026-06-19 23:07:16,727 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 2: 9413 observations, Categories: ['2']
2026-06-19 23:07:16,727 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 3: 3276 observations, Categories: ['3']
2026-06-19 23:07:16,728 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 4: 83 observations, Categories: ['4']
2026-06-19 23:07:16,728 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 5: 201 observations, Categories: ['5']
2026-06-19 23:07:16,728 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 6: 34 observations, Categories: ['6']
2026-06-19 23:07:16,728 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:500 | INFO | STEP: 1 - Bins assigned based on current category groups.
2026-06-19 23:07:16,728 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:95 | INFO | Calculating WoE / IV table for categorical binning. bin_col='_bin'
2026-06-19 23:07:16,730 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:113 | INFO | Total good: 15654, Total bad: 4446
2026-06-19 23:07:16,732 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:145 | INFO | WoE / IV table calculated. Bin count=7, Total IV=0.035749
2026-06-19 23:07:16,733 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:509 | INFO | STEP: 1 - WoE / IV summary table calculated.
2026-06-19 23:07:16,733 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:513 | INFO | STEP: 1 - Summary table sorted by bad_rate.
2026-06-19 23:07:16,733 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:518 | INFO | STEP: 1 - Current bin count=7, Current IV=0.035749
2026-06-19 23:07:16,734 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:531 | INFO | STEP: 1 - RULES CHECK START
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:555 | INFO | Rule 1 triggered: small bin merge.
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:556 | INFO | STEP: 1 - Problem bin=0, Merge with bin=0
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:270 | INFO | Merging category groups. Merging group 0 into group 0
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:286 | INFO | Groups merged and renumbered. New group count=7
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:564 | INFO | STEP: 1 - Category groups merged based on Rule 1.
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:491 | INFO | --- Iteration 2 ---
2026-06-19 23:07:16,735 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:226 | INFO | Assigning observations to category groups. Group count=7
2026-06-19 23:07:16,736 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:231 | INFO | Observations assigned to groups:
2026-06-19 23:07:16,736 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 0: 12 observations, Categories: ['0']
2026-06-19 23:07:16,737 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 1: 7081 observations, Categories: ['1']
2026-06-19 23:07:16,737 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 2: 9413 observations, Categories: ['2']
2026-06-19 23:07:16,737 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 3: 3276 observations, Categories: ['3']
2026-06-19 23:07:16,737 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 4: 83 observations, Categories: ['4']
2026-06-19 23:07:16,737 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 5: 201 observations, Categories: ['5']
2026-06-19 23:07:16,737 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 6: 34 observations, Categories: ['6']
2026-06-19 23:07:16,738 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:500 | INFO | STEP: 2 - Bins assigned based on current category groups.
2026-06-19 23:07:16,738 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:95 | INFO | Calculating WoE / IV table for categorical binning. bin_col='_bin'
2026-06-19 23:07:16,740 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:113 | INFO | Total good: 15654, Total bad: 4446
2026-06-19 23:07:16,742 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:145 | INFO | WoE / IV table calculated. Bin count=7, Total IV=0.035749
2026-06-19 23:07:16,742 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:509 | INFO | STEP: 2 - WoE / IV summary table calculated.
2026-06-19 23:07:16,742 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:513 | INFO | STEP: 2 - Summary table sorted by bad_rate.
2026-06-19 23:07:16,742 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:518 | INFO | STEP: 2 - Current bin count=7, Current IV=0.035749
2026-06-19 23:07:16,743 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:531 | INFO | STEP: 2 - RULES CHECK START
2026-06-19 23:07:16,744 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:555 | INFO | Rule 1 triggered: small bin merge.
2026-06-19 23:07:16,744 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:556 | INFO | STEP: 2 - Problem bin=0, Merge with bin=0
2026-06-19 23:07:16,744 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:270 | INFO | Merging category groups. Merging group 0 into group 0
2026-06-19 23:07:16,744 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:286 | INFO | Groups merged and renumbered. New group count=7
2026-06-19 23:07:16,744 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:564 | INFO | STEP: 2 - Category groups merged based on Rule 1.
2026-06-19 23:07:16,745 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:491 | INFO | --- Iteration 3 ---
2026-06-19 23:07:16,745 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:226 | INFO | Assigning observations to category groups. Group count=7
2026-06-19 23:07:16,746 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:231 | INFO | Observations assigned to groups:
2026-06-19 23:07:16,746 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 0: 12 observations, Categories: ['0']
2026-06-19 23:07:16,746 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 1: 7081 observations, Categories: ['1']
2026-06-19 23:07:16,746 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 2: 9413 observations, Categories: ['2']
2026-06-19 23:07:16,746 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 3: 3276 observations, Categories: ['3']
2026-06-19 23:07:16,747 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 4: 83 observations, Categories: ['4']
2026-06-19 23:07:16,747 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 5: 201 observations, Categories: ['5']
2026-06-19 23:07:16,747 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 6: 34 observations, Categories: ['6']
2026-06-19 23:07:16,747 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:500 | INFO | STEP: 3 - Bins assigned based on current category groups.
2026-06-19 23:07:16,747 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:95 | INFO | Calculating WoE / IV table for categorical binning. bin_col='_bin'
2026-06-19 23:07:16,750 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:113 | INFO | Total good: 15654, Total bad: 4446
2026-06-19 23:07:16,752 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:145 | INFO | WoE / IV table calculated. Bin count=7, Total IV=0.035749
2026-06-19 23:07:16,752 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:509 | INFO | STEP: 3 - WoE / IV summary table calculated.
2026-06-19 23:07:16,752 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:513 | INFO | STEP: 3 - Summary table sorted by bad_rate.
2026-06-19 23:07:16,752 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:518 | INFO | STEP: 3 - Current bin count=7, Current IV=0.035749
2026-06-19 23:07:16,753 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:531 | INFO | STEP: 3 - RULES CHECK START
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:555 | INFO | Rule 1 triggered: small bin merge.
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:556 | INFO | STEP: 3 - Problem bin=0, Merge with bin=0
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:270 | INFO | Merging category groups. Merging group 0 into group 0
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:286 | INFO | Groups merged and renumbered. New group count=7
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:564 | INFO | STEP: 3 - Category groups merged based on Rule 1.
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:491 | INFO | --- Iteration 4 ---
2026-06-19 23:07:16,754 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:226 | INFO | Assigning observations to category groups. Group count=7
2026-06-19 23:07:16,755 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:231 | INFO | Observations assigned to groups:
2026-06-19 23:07:16,755 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 0: 12 observations, Categories: ['0']
2026-06-19 23:07:16,755 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 1: 7081 observations, Categories: ['1']
2026-06-19 23:07:16,755 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 2: 9413 observations, Categories: ['2']
2026-06-19 23:07:16,756 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 3: 3276 observations, Categories: ['3']
2026-06-19 23:07:16,756 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 4: 83 observations, Categories: ['4']
2026-06-19 23:07:16,756 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 5: 201 observations, Categories: ['5']
2026-06-19 23:07:16,756 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 6: 34 observations, Categories: ['6']
2026-06-19 23:07:16,757 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:500 | INFO | STEP: 4 - Bins assigned based on current category groups.
2026-06-19 23:07:16,757 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:95 | INFO | Calculating WoE / IV table for categorical binning. bin_col='_bin'
2026-06-19 23:07:16,759 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:113 | INFO | Total good: 15654, Total bad: 4446
2026-06-19 23:07:16,760 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:145 | INFO | WoE / IV table calculated. Bin count=7, Total IV=0.035749
2026-06-19 23:07:16,760 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:509 | INFO | STEP: 4 - WoE / IV summary table calculated.
2026-06-19 23:07:16,761 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:513 | INFO | STEP: 4 - Summary table sorted by bad_rate.
2026-06-19 23:07:16,761 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:518 | INFO | STEP: 4 - Current bin count=7, Current IV=0.035749
2026-06-19 23:07:16,762 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:531 | INFO | STEP: 4 - RULES CHECK START
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:555 | INFO | Rule 1 triggered: small bin merge.
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:556 | INFO | STEP: 4 - Problem bin=0, Merge with bin=0
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:270 | INFO | Merging category groups. Merging group 0 into group 0
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | merge_category_groups:286 | INFO | Groups merged and renumbered. New group count=7
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:564 | INFO | STEP: 4 - Category groups merged based on Rule 1.
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:491 | INFO | --- Iteration 5 ---
2026-06-19 23:07:16,763 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:226 | INFO | Assigning observations to category groups. Group count=7
2026-06-19 23:07:16,764 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:231 | INFO | Observations assigned to groups:
2026-06-19 23:07:16,764 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 0: 12 observations, Categories: ['0']
2026-06-19 23:07:16,765 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 1: 7081 observations, Categories: ['1']
2026-06-19 23:07:16,765 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 2: 9413 observations, Categories: ['2']
2026-06-19 23:07:16,765 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 3: 3276 observations, Categories: ['3']
2026-06-19 23:07:16,765 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 4: 83 observations, Categories: ['4']
2026-06-19 23:07:16,765 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 5: 201 observations, Categories: ['5']
2026-06-19 23:07:16,766 | [None] | mlops.auto_binning_woe_categorical | assign_bins_from_category_groups:235 | INFO | 	Group 6: 34 observations, Categories: ['6']
2026-06-19 23:07:16,766 | [None] | mlops.auto_binning_woe_categorical | auto_woe_binning_categorical:500 | INFO | STEP: 5 - Bins assigned based on current category groups.
2026-06-19 23:07:16,766 | [None] | mlops.auto_binning_woe_categorical | calculate_woe_iv_table_categorical:95 | INFO | Calculating WoE / IV table for categorical binning. bin_col='_bin'
