2026-06-19 23:10:17,481 | [None] | mlops.sklearn_wrapper_woe | fit:162 | INFO | Fitting WOETransformer - Features in DataFrame: ['credit_limit', 'age', 'bill_amount_sep_2005', 'bill_amount_aug_2005', 'bill_amount_jul_2005', 'bill_amount_jun_2005', 'bill_amount_may_2005', 'bill_amount_apr_2005', 'payment_amount_sep_2005', 'payment_amount_aug_2005', 'payment_amount_jul_2005', 'payment_amount_jun_2005', 'payment_amount_may_2005', 'payment_amount_apr_2005', 'credit_limit_right', 'age_right', 'bill_amount_sep_2005_right', 'bill_amount_aug_2005_right', 'bill_amount_jul_2005_right', 'bill_amount_jun_2005_right', 'bill_amount_may_2005_right', 'bill_amount_apr_2005_right', 'payment_amount_sep_2005_right', 'payment_amount_aug_2005_right', 'payment_amount_jul_2005_right', 'payment_amount_jun_2005_right', 'payment_amount_may_2005_right', 'payment_amount_apr_2005_right']
2026-06-19 23:10:17,501 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.033629
2026-06-19 23:10:17,501 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.061645
2026-06-19 23:10:17,502 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = -0.156011
2026-06-19 23:10:17,502 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_sep_2005 from outputs\auto_binning_woe\bill_amount_sep_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,506 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 8 bins and WOE values for feature 'bill_amount_sep_2005' from outputs\auto_binning_woe\bill_amount_sep_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,507 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.119741
2026-06-19 23:10:17,507 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.068349
2026-06-19 23:10:17,508 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.051588
2026-06-19 23:10:17,508 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.013161
2026-06-19 23:10:17,509 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.096507
2026-06-19 23:10:17,509 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.114906
2026-06-19 23:10:17,510 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.151364
2026-06-19 23:10:17,510 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 7: WOE = 0.202560
2026-06-19 23:10:17,511 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_aug_2005 from outputs\auto_binning_woe\bill_amount_aug_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,515 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 3 bins and WOE values for feature 'bill_amount_aug_2005' from outputs\auto_binning_woe\bill_amount_aug_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,515 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = 0.045210
2026-06-19 23:10:17,515 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.062030
2026-06-19 23:10:17,530 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.020659
2026-06-19 23:10:17,531 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_jul_2005 from outputs\auto_binning_woe\bill_amount_jul_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,539 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 5 bins and WOE values for feature 'bill_amount_jul_2005' from outputs\auto_binning_woe\bill_amount_jul_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,541 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.042033
2026-06-19 23:10:17,541 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = 0.024585
2026-06-19 23:10:17,542 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = 0.095367
2026-06-19 23:10:17,542 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.151123
2026-06-19 23:10:17,543 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.161568
2026-06-19 23:10:17,544 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_jun_2005 from outputs\auto_binning_woe\bill_amount_jun_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,547 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 5 bins and WOE values for feature 'bill_amount_jun_2005' from outputs\auto_binning_woe\bill_amount_jun_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,551 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.057146
2026-06-19 23:10:17,553 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.030109
2026-06-19 23:10:17,554 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.010186
2026-06-19 23:10:17,554 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.036329
2026-06-19 23:10:17,554 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.148199
2026-06-19 23:10:17,555 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_may_2005 from outputs\auto_binning_woe\bill_amount_may_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,559 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 4 bins and WOE values for feature 'bill_amount_may_2005' from outputs\auto_binning_woe\bill_amount_may_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,560 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.064240
2026-06-19 23:10:17,560 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.030650
2026-06-19 23:10:17,561 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = 0.112835
2026-06-19 23:10:17,561 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.123859
2026-06-19 23:10:17,562 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_apr_2005 from outputs\auto_binning_woe\bill_amount_apr_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,565 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 3 bins and WOE values for feature 'bill_amount_apr_2005' from outputs\auto_binning_woe\bill_amount_apr_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,565 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = 0.087046
2026-06-19 23:10:17,566 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.078605
2026-06-19 23:10:17,569 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.051163
2026-06-19 23:10:17,569 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_sep_2005 from outputs\auto_binning_woe\payment_amount_sep_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,575 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 7 bins and WOE values for feature 'payment_amount_sep_2005' from outputs\auto_binning_woe\payment_amount_sep_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,575 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.596607
2026-06-19 23:10:17,576 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.057024
2026-06-19 23:10:17,576 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = 0.048983
2026-06-19 23:10:17,576 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.200155
2026-06-19 23:10:17,577 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.430260
2026-06-19 23:10:17,577 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.486621
2026-06-19 23:10:17,577 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.973784
2026-06-19 23:10:17,577 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_aug_2005 from outputs\auto_binning_woe\payment_amount_aug_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,581 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 7 bins and WOE values for feature 'payment_amount_aug_2005' from outputs\auto_binning_woe\payment_amount_aug_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,582 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.515234
2026-06-19 23:10:17,584 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.111869
2026-06-19 23:10:17,584 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = 0.002615
2026-06-19 23:10:17,585 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.069568
2026-06-19 23:10:17,585 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.232709
2026-06-19 23:10:17,586 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.466724
2026-06-19 23:10:17,587 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.795184
2026-06-19 23:10:17,588 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_jul_2005 from outputs\auto_binning_woe\payment_amount_jul_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,594 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 8 bins and WOE values for feature 'payment_amount_jul_2005' from outputs\auto_binning_woe\payment_amount_jul_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,597 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.503811
2026-06-19 23:10:17,598 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.081654
2026-06-19 23:10:17,598 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.030371
2026-06-19 23:10:17,599 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.099108
2026-06-19 23:10:17,599 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.126776
2026-06-19 23:10:17,602 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.433991
2026-06-19 23:10:17,604 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.543195
2026-06-19 23:10:17,604 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 7: WOE = 0.706613
2026-06-19 23:10:17,605 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_jun_2005 from outputs\auto_binning_woe\payment_amount_jun_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,611 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 6 bins and WOE values for feature 'payment_amount_jun_2005' from outputs\auto_binning_woe\payment_amount_jun_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,611 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.359053
2026-06-19 23:10:17,612 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.097716
2026-06-19 23:10:17,612 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.033133
2026-06-19 23:10:17,613 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.091345
2026-06-19 23:10:17,614 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.231750
2026-06-19 23:10:17,614 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.478062
2026-06-19 23:10:17,627 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_may_2005 from outputs\auto_binning_woe\payment_amount_may_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,631 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 8 bins and WOE values for feature 'payment_amount_may_2005' from outputs\auto_binning_woe\payment_amount_may_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,633 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.324386
2026-06-19 23:10:17,634 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.119259
2026-06-19 23:10:17,634 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.092534
2026-06-19 23:10:17,635 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = -0.018601
2026-06-19 23:10:17,635 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.203574
2026-06-19 23:10:17,636 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.339866
2026-06-19 23:10:17,637 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.568320
2026-06-19 23:10:17,638 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 7: WOE = 0.699241
2026-06-19 23:10:17,640 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_apr_2005 from outputs\auto_binning_woe\payment_amount_apr_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,643 | [None] | mlops.sklearn_wrapper_woe | fit:206 | INFO | Loaded 9 bins and WOE values for feature 'payment_amount_apr_2005' from outputs\auto_binning_woe\payment_amount_apr_2005\final_auto_binning_woe.json
2026-06-19 23:10:17,654 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 0: WOE = -0.343864
2026-06-19 23:10:17,655 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 1: WOE = -0.134093
2026-06-19 23:10:17,655 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 2: WOE = -0.123690
2026-06-19 23:10:17,656 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 3: WOE = 0.019663
2026-06-19 23:10:17,656 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 4: WOE = 0.068709
2026-06-19 23:10:17,657 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 5: WOE = 0.163301
2026-06-19 23:10:17,657 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 6: WOE = 0.396300
2026-06-19 23:10:17,658 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 7: WOE = 0.610654
2026-06-19 23:10:17,658 | [None] | mlops.sklearn_wrapper_woe | fit:208 | INFO |   Bin 8: WOE = 0.717783
2026-06-19 23:10:17,659 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature credit_limit_right from outputs\auto_binning_woe\credit_limit_right\final_auto_binning_woe.json
2026-06-19 23:10:17,663 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'credit_limit_right': outputs\auto_binning_woe\credit_limit_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,664 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature age_right from outputs\auto_binning_woe\age_right\final_auto_binning_woe.json
2026-06-19 23:10:17,665 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'age_right': outputs\auto_binning_woe\age_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,665 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_sep_2005_right from outputs\auto_binning_woe\bill_amount_sep_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,667 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'bill_amount_sep_2005_right': outputs\auto_binning_woe\bill_amount_sep_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,668 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_aug_2005_right from outputs\auto_binning_woe\bill_amount_aug_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,671 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'bill_amount_aug_2005_right': outputs\auto_binning_woe\bill_amount_aug_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,674 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_jul_2005_right from outputs\auto_binning_woe\bill_amount_jul_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,675 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'bill_amount_jul_2005_right': outputs\auto_binning_woe\bill_amount_jul_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,676 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_jun_2005_right from outputs\auto_binning_woe\bill_amount_jun_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,677 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'bill_amount_jun_2005_right': outputs\auto_binning_woe\bill_amount_jun_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,678 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_may_2005_right from outputs\auto_binning_woe\bill_amount_may_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,678 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'bill_amount_may_2005_right': outputs\auto_binning_woe\bill_amount_may_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,680 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature bill_amount_apr_2005_right from outputs\auto_binning_woe\bill_amount_apr_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,681 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'bill_amount_apr_2005_right': outputs\auto_binning_woe\bill_amount_apr_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,681 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_sep_2005_right from outputs\auto_binning_woe\payment_amount_sep_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,682 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'payment_amount_sep_2005_right': outputs\auto_binning_woe\payment_amount_sep_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,683 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_aug_2005_right from outputs\auto_binning_woe\payment_amount_aug_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,684 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'payment_amount_aug_2005_right': outputs\auto_binning_woe\payment_amount_aug_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,686 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_jul_2005_right from outputs\auto_binning_woe\payment_amount_jul_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,686 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'payment_amount_jul_2005_right': outputs\auto_binning_woe\payment_amount_jul_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,687 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_jun_2005_right from outputs\auto_binning_woe\payment_amount_jun_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,688 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'payment_amount_jun_2005_right': outputs\auto_binning_woe\payment_amount_jun_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,689 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_may_2005_right from outputs\auto_binning_woe\payment_amount_may_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,689 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'payment_amount_may_2005_right': outputs\auto_binning_woe\payment_amount_may_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,690 | [None] | mlops.sklearn_wrapper_woe | fit:170 | INFO | Attempting to load WOE metadata for feature payment_amount_apr_2005_right from outputs\auto_binning_woe\payment_amount_apr_2005_right\final_auto_binning_woe.json
2026-06-19 23:10:17,691 | [None] | mlops.sklearn_wrapper_woe | fit:212 | WARNING | JSON metadata not found for feature 'payment_amount_apr_2005_right': outputs\auto_binning_woe\payment_amount_apr_2005_right\final_auto_binning_woe.json. This feature will not be transformed.
2026-06-19 23:10:17,691 | [None] | mlops.sklearn_wrapper_woe | fit:222 | INFO | WOETransformer fitted for 14 features: ['credit_limit', 'age', 'bill_amount_sep_2005', 'bill_amount_aug_2005', 'bill_amount_jul_2005', 'bill_amount_jun_2005', 'bill_amount_may_2005', 'bill_amount_apr_2005', 'payment_amount_sep_2005', 'payment_amount_aug_2005', 'payment_amount_jul_2005', 'payment_amount_jun_2005', 'payment_amount_may_2005', 'payment_amount_apr_2005']
2026-06-19 23:10:17,795 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'credit_limit' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:17,889 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'age' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,022 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'bill_amount_sep_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,155 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'bill_amount_aug_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,291 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'bill_amount_jul_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,428 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'bill_amount_jun_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,539 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'bill_amount_may_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,666 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'bill_amount_apr_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,792 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'payment_amount_sep_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:18,922 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'payment_amount_aug_2005' to WOE representation using JSON metadata and dropped original column
2026-06-19 23:10:19,044 | [None] | mlops.sklearn_wrapper_woe | transform:269 | INFO | Transformed feature 'payment_amount_jul_2005' to WOE representation using JSON metadata and dropped original column
