2026-06-08 23:26:34,919 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'credit_limit' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,006 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,008 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: -69777.0 to -200.0, Count: 302
2026-06-08 23:26:35,008 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: -200.0 to 0.0, Count: 2873
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 0.0 to 2984.75, Count: 4325
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 2984.75 to 21200.0, Count: 7500
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 21200.0 to 64006.25, Count: 7500
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 64006.25 to 136905.5, Count: 4500
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 136905.5 to 194792.2, Count: 1500
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P90_P95: 194792.2 to 337495.28, Count: 1200
2026-06-08 23:26:35,009 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P95_P99: 337495.28 to 983931.0, Count: 300
2026-06-08 23:26:35,021 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'bill_amount_jul_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,026 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: -157264.0 to -200.0, Count: 306
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: -200.0 to 0.0, Count: 3219
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 0.0 to 2666.25, Count: 3975
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 2666.25 to 20088.5, Count: 7500
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 20088.5 to 60164.75, Count: 7500
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 60164.75 to 132051.3, Count: 4500
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 132051.3 to 187821.05, Count: 1500
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P90_P95: 187821.05 to 325030.39, Count: 1200
2026-06-08 23:26:35,028 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P95_P99: 325030.39 to 1664089.0, Count: 300
2026-06-08 23:26:35,041 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'bill_amount_jun_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,045 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: -170000.0 to -212.02, Count: 300
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: -212.02 to 0.0, Count: 3570
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 0.0 to 2326.75, Count: 3630
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 2326.75 to 19052.0, Count: 7502
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 19052.0 to 54506.0, Count: 7498
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 54506.0 to 122418.7, Count: 4500
2026-06-08 23:26:35,047 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 122418.7 to 174333.35, Count: 1500
2026-06-08 23:26:35,048 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P90_P95: 174333.35 to 304997.27, Count: 1200
2026-06-08 23:26:35,048 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P95_P99: 304997.27 to 891586.0, Count: 300
2026-06-08 23:26:35,063 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'bill_amount_may_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,068 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,070 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: -81334.0 to -232.01, Count: 300
2026-06-08 23:26:35,070 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: -232.01 to 0.0, Count: 3861
2026-06-08 23:26:35,070 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 0.0 to 1763.0, Count: 3340
2026-06-08 23:26:35,070 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 1763.0 to 18104.5, Count: 7499
2026-06-08 23:26:35,070 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 18104.5 to 50190.5, Count: 7500
2026-06-08 23:26:35,071 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 50190.5 to 115883.0, Count: 4500
2026-06-08 23:26:35,071 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 115883.0 to 165794.3, Count: 1500
2026-06-08 23:26:35,071 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P90_P95: 165794.3 to 285868.33, Count: 1200
2026-06-08 23:26:35,071 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P95_P99: 285868.33 to 927171.0, Count: 300
2026-06-08 23:26:35,082 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'bill_amount_apr_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,086 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,088 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: -339603.0 to -331.03, Count: 300
2026-06-08 23:26:35,088 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: -331.03 to 0.0, Count: 4408
2026-06-08 23:26:35,088 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 0.0 to 1256.0, Count: 2794
2026-06-08 23:26:35,088 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 1256.0 to 17071.0, Count: 7498
2026-06-08 23:26:35,089 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 17071.0 to 49198.25, Count: 7500
2026-06-08 23:26:35,089 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 49198.25 to 112110.4, Count: 4500
2026-06-08 23:26:35,089 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 112110.4 to 161912.0, Count: 1501
2026-06-08 23:26:35,089 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P90_P95: 161912.0 to 279505.06, Count: 1199
2026-06-08 23:26:35,089 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P95_P99: 279505.06 to 961664.0, Count: 300
2026-06-08 23:26:35,101 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'payment_amount_sep_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,105 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,107 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 1000.0, Count: 7839
2026-06-08 23:26:35,107 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: 1000.0 to 2100.0, Count: 7174
2026-06-08 23:26:35,108 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 2100.0 to 5006.0, Count: 7490
2026-06-08 23:26:35,108 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 5006.0 to 10300.0, Count: 4500
2026-06-08 23:26:35,108 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 10300.0 to 18428.2, Count: 1497
2026-06-08 23:26:35,108 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 18428.2 to 66522.18, Count: 1200
2026-06-08 23:26:35,108 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 66522.18 to 873552.0, Count: 300
2026-06-08 23:26:35,119 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'payment_amount_aug_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,124 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 833.0, Count: 7502
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: 833.0 to 2009.0, Count: 7503
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 2009.0 to 5000.0, Count: 7751
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 5000.0 to 10401.1, Count: 4244
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 10401.1 to 19004.35, Count: 1500
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 19004.35 to 76651.02, Count: 1200
2026-06-08 23:26:35,126 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 76651.02 to 1684259.0, Count: 300
2026-06-08 23:26:35,138 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'payment_amount_jul_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,142 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,144 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 390.0, Count: 7526
2026-06-08 23:26:35,144 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: 390.0 to 1800.0, Count: 7486
2026-06-08 23:26:35,144 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 1800.0 to 4505.0, Count: 7489
2026-06-08 23:26:35,144 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 4505.0 to 10000.0, Count: 4625
2026-06-08 23:26:35,145 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 10000.0 to 17589.4, Count: 1374
2026-06-08 23:26:35,145 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 17589.4 to 70000.0, Count: 1203
2026-06-08 23:26:35,145 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 70000.0 to 896040.0, Count: 297
2026-06-08 23:26:35,156 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'payment_amount_jun_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,161 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,163 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 296.0, Count: 7503
2026-06-08 23:26:35,163 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: 296.0 to 1500.0, Count: 7655
2026-06-08 23:26:35,163 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 1500.0 to 4013.25, Count: 7342
2026-06-08 23:26:35,163 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 4013.25 to 9570.6, Count: 4500
2026-06-08 23:26:35,163 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 9570.6 to 16014.95, Count: 1500
2026-06-08 23:26:35,163 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 16014.95 to 67054.44, Count: 1200
2026-06-08 23:26:35,164 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 67054.44 to 621000.0, Count: 300
2026-06-08 23:26:35,175 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'payment_amount_may_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,179 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,181 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 252.5, Count: 7500
2026-06-08 23:26:35,181 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: 252.5 to 1500.0, Count: 7546
2026-06-08 23:26:35,181 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 1500.0 to 4031.5, Count: 7454
2026-06-08 23:26:35,182 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 4031.5 to 9500.0, Count: 4503
2026-06-08 23:26:35,182 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 9500.0 to 16000.0, Count: 1499
2026-06-08 23:26:35,182 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 16000.0 to 65607.56, Count: 1198
2026-06-08 23:26:35,182 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 65607.56 to 426529.0, Count: 300
2026-06-08 23:26:35,193 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'payment_amount_apr_2005' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,198 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 117.75, Count: 7500
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P01_P05: 117.75 to 1500.0, Count: 7742
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P05_P10: 1500.0 to 4000.0, Count: 7275
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P10_P25: 4000.0 to 9600.0, Count: 4484
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P25_P50: 9600.0 to 17343.8, Count: 1499
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P50_P75: 17343.8 to 82619.05, Count: 1200
2026-06-08 23:26:35,201 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin P75_P90: 82619.05 to 528666.0, Count: 300
2026-06-08 23:26:35,210 | [None] | mlops.utils | percentile_distribution:92 | INFO | Computing percentile distribution for column 'TARGET' with quantiles: [0.01, 0.05, 0.1, 0.25, 0.5, 0.75, 0.9, 0.95, 0.99]
2026-06-08 23:26:35,214 | [None] | mlops.utils | percentile_distribution:117 | INFO | Removed duplicate bin edges if any.
2026-06-08 23:26:35,216 | [None] | mlops.utils | percentile_distribution:135 | INFO | Bin below_P01: 0.0 to 1.0, Count: 30000
2026-06-08 23:26:35,262 | [None] | mlops.utils | save_json:175 | INFO | Data successfully saved to outputs/descriptive_analysis/./summary_stats.json.
2026-06-08 23:26:35,444 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\credit_limit_bb.svg
2026-06-08 23:26:35,565 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\age_bb.svg
2026-06-08 23:26:35,698 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\bill_amount_sep_2005_bb.svg
2026-06-08 23:26:35,832 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\bill_amount_aug_2005_bb.svg
2026-06-08 23:26:35,973 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\bill_amount_jul_2005_bb.svg
2026-06-08 23:26:36,111 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\bill_amount_jun_2005_bb.svg
2026-06-08 23:26:36,242 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\bill_amount_may_2005_bb.svg
2026-06-08 23:26:36,385 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\bill_amount_apr_2005_bb.svg
2026-06-08 23:26:36,517 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\payment_amount_sep_2005_bb.svg
2026-06-08 23:26:36,652 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\payment_amount_aug_2005_bb.svg
2026-06-08 23:26:36,785 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\payment_amount_jul_2005_bb.svg
2026-06-08 23:26:36,925 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\payment_amount_jun_2005_bb.svg
2026-06-08 23:26:37,054 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\payment_amount_may_2005_bb.svg
2026-06-08 23:26:37,188 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\payment_amount_apr_2005_bb.svg
2026-06-08 23:26:37,346 | [None] | mlops.utils | plot_boxplots:234 | INFO | Boxplot saved: outputs/descriptive_analysis/./boxplots\TARGET_bb.svg
2026-06-08 23:26:37,768 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\credit_limit_hist.svg
2026-06-08 23:26:38,210 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\age_hist.svg
2026-06-08 23:26:38,621 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\bill_amount_sep_2005_hist.svg
2026-06-08 23:26:39,049 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\bill_amount_aug_2005_hist.svg
2026-06-08 23:26:39,438 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\bill_amount_jul_2005_hist.svg
2026-06-08 23:26:39,856 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\bill_amount_jun_2005_hist.svg
2026-06-08 23:26:40,261 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\bill_amount_may_2005_hist.svg
2026-06-08 23:26:40,695 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\bill_amount_apr_2005_hist.svg
2026-06-08 23:26:41,025 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\payment_amount_sep_2005_hist.svg
2026-06-08 23:26:41,346 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\payment_amount_aug_2005_hist.svg
2026-06-08 23:26:41,716 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\payment_amount_jul_2005_hist.svg
2026-06-08 23:26:42,056 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\payment_amount_jun_2005_hist.svg
2026-06-08 23:26:42,401 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\payment_amount_may_2005_hist.svg
2026-06-08 23:26:42,764 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\payment_amount_apr_2005_hist.svg
2026-06-08 23:26:43,184 | [None] | mlops.utils | plot_histograms:304 | INFO | Histogram saved: outputs\descriptive_analysis\histograms\TARGET_hist.svg
2026-06-08 23:26:43,603 | [None] | mlops.utils | plot_qq_plots:355 | INFO | Q-Q plot saved: outputs\descriptive_analysis\qq_plots\credit_limit_qq.svg
2026-06-08 23:26:44,023 | [None] | mlops.utils | plot_qq_plots:355 | INFO | Q-Q plot saved: outputs\descriptive_analysis\qq_plots\age_qq.svg
2026-06-08 23:26:44,435 | [None] | mlops.utils | plot_qq_plots:355 | INFO | Q-Q plot saved: outputs\descriptive_analysis\qq_plots\bill_amount_sep_2005_qq.svg
2026-06-08 23:26:44,865 | [None] | mlops.utils | plot_qq_plots:355 | INFO | Q-Q plot saved: outputs\descriptive_analysis\qq_plots\bill_amount_aug_2005_qq.svg
2026-06-08 23:26:45,302 | [None] | mlops.utils | plot_qq_plots:355 | INFO | Q-Q plot saved: outputs\descriptive_analysis\qq_plots\bill_amount_jul_2005_qq.svg
